protocol,chain,pool_name,apy,apy_base,apy_reward,tvl_usd,usdc_liquidity,risk_score,category,min_deposit,oracle_confidence,last_updated,risk_adjusted_apy,tvl_millions,liquidity_millions,risk_category
gmx-v2-perps,arbitrum,AVAX-USDC,96.07234,96.07234,0.0,1362029.0,681014.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805092,48.03617,1.362029,0.6810145,High
peapods-finance,ethereum,USDC,91.05051,91.05051,0.0,17478609.0,16604678.549999999,1.0,other,1.0,0.9,2025-09-27 11:56:28.803521,45.525255,17.478609,16.60467855,High
curve-dex,ethereum,USDC-LIUSD-1W,76.09,76.09,0.0,1021750.0,510875.0,1.0,stable_lp,1.0,0.9,2025-09-27 11:56:28.805366,38.045,1.02175,0.510875,High
uniswap-v3,ethereum,LINK-USDC,75.89276,75.89276,0.0,2315659.0,1157829.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804671,37.94638,2.315659,1.1578295,High
merkl,ethereum,LVUSDC-USDC,75.19515,0.0,75.19515,12951681.0,6475840.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803609,37.597575,12.951681,6.4758405,High
pancakeswap-amm-v3,ethereum,USDC-STG,72.99199,72.99199,0.0,2893677.0,1446838.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804502,36.495995,2.893677,1.4468385,High
aerodrome-slipstream,base,WETH-USDC,68.73592,40.76369,27.97222,40253185.0,20126592.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803301,34.36796,40.253185,20.1265925,High
pancakeswap-amm-v3,arbitrum,WETH-USDC,68.53535,68.53535,0.0,1349428.0,674714.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805109,34.267675,1.349428,0.674714,High
pancakeswap-amm-v3,base,WETH-USDC,68.32281,68.32281,0.0,3078442.0,1539221.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804468,34.161405,3.078442,1.539221,High
merkl,ethereum,LVUSDC-USDC,67.22827,0.0,67.22827,32652623.0,16326311.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.803351,33.614135,32.652623,16.3263115,High
camelot-v3,arbitrum,WETH-USDC,65.65745,65.65745,0.0,2238868.0,1119434.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.804707,32.828725,2.238868,1.119434,High
notional-v3,ethereum,AURA-GHO-USDT-USDC,65.41222,65.41222,0.0,1353778.0,676889.0,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805100,32.70611,1.353778,0.676889,High
pancakeswap-amm-v3,arbitrum,WETH-USDC,63.67045,63.67045,0.0,1452037.0,726018.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805043,31.835225,1.452037,0.7260185,High
maverick-v2,ethereum,USDC-WETH,61.78325,61.78325,0.0,1100631.0,550315.5,1.0,lp_pool,1.0,0.9,2025-09-27 11:56:28.805276,30.891625,1.100631,0.5503155,High
curve-dex,ethereum,IDAI-IUSDC-IUSDT,61.75,61.75,0.0,3358924.0,1679462.0,1.0,stable_lp,1.0,0.9,2025-09-27 11:56:28.804410,30.875,3.358924,1.679462,High
